"","Filename","valence","arousal"
"1","0001.mp4",2.2222,5.5556
"2","0022.mp4",4.7778,7.3333
"3","0059.mp4",3.1111,5.1111
"4","0062.mp4",1.4444,4
"5","0088.mp4",6.1111,5.5556
"6","0176.mp4",7.3333,7.7778
"7","0187.mp4",1,5
"8","0208.mp4",1.8889,5.5556
"9","0283.mp4",5.5556,6.2222
"10","0360.mp4",6.4444,5
"11","0404.mp4",6.5556,5.2222
"12","0500.mp4",4,6.7778
"13","0510.mp4",3.6667,5
"14","0512.mp4",1.7778,4.6667
"15","0523.mp4",4.2222,4.2222
"16","0532.mp4",2.1111,5
"17","0534.mp4",8,6.5556
"18","0540.mp4",7.4444,6.8889
"19","0554.mp4",2.3333,5.1111
"20","0570.mp4",7.4444,6.7778
"21","0575.mp4",5.2222,6
"22","0667.mp4",1.4444,4.8889
"23","0865.mp4",1.7778,6
"24","0913.mp4",3.6667,5.4444
"25","0927.mp4",7.6667,5.6667
"26","0936.mp4",6.7778,6.3333
"27","0951.mp4",5.4444,5.5556
"28","0960.mp4",7,5.8889
"29","0977.mp4",2.7778,6.1111
"30","0990.mp4",4.7778,5.8889
"31","1009.mp4",7.8889,5.8889
"32","1037.mp4",3.5556,6.3333
"33","1071.mp4",8.7778,4.8889
"34","1078.mp4",5.7778,5.1111
"35","1082.mp4",6.5556,6.4444
"36","1086.mp4",8,7
"37","1100.mp4",6.2222,6.1111
"38","1158.mp4",7.4444,5.7778
"39","1169.mp4",4,6.3333
"40","1174.mp4",1.2222,5.7778
"41","1175.mp4",6.7778,7
"42","1210.mp4",7,6
"43","1292.mp4",1.6667,5.7778
"44","1337.mp4",7.6667,6.7778
"45","1362.mp4",1.7778,6.8889
"46","1372.mp4",6.7778,3.2222
"47","1375.mp4",2.4444,7.5556
"48","1440.mp4",5,6.4444
"49","1469.mp4",5,5.3333
"50","1528.mp4",4.7778,5
"51","1532.mp4",2.5556,3.3333
"52","1544.mp4",4.1111,5.6667
"53","1567.mp4",5.3333,5.2222
"54","1581.mp4",6.1111,6
"55","1610.mp4",6.5556,6.4444
"56","1625.mp4",6.3333,6
"57","1630.mp4",1.8889,5
"58","1632.mp4",1.7778,6.1111
"59","1693.mp4",6.8889,6.6667
"60","1703.mp4",1.5556,5.7778
"61","1760.mp4",5.8889,4.1111
"62","1768.mp4",3.2222,5
"63","1789.mp4",7.5556,6.4444
"64","1791.mp4",5.5556,5.4444
"65","1826.mp4",7.8889,7.6667
"66","1939.mp4",5.5556,6.2222
"67","1941.mp4",6.5556,6.5556
"68","1943.mp4",3.7778,5.7778
"69","2090.mp4",3.7778,5.4444
"70","2120.mp4",3,7.1111
"71","2135.mp4",3,5.4444
"72","2136.mp4",3.6667,4.1111
"73","2138.mp4",8.1111,7.2222
"74","2148.mp4",4.7778,6.3333
"75","2151.mp4",4.2222,5.7778
